Description,Volume,Price
NAPOLEON FRENCH SPIRIT SYRENS,1000,2550
VECCHIA ROMAGNA 1820 CLASSICA BRANDY,700,3780
A. BARONET V.S.O.P. NAPOLEON FINEST BRANDY,1000,4900
SCOTTISH LEADER ORIGINAL BLENDED SCOTCH WHISKY,750,2950
SCOTTISH LEADER ORIGINAL BLENDED SCOTCH WHISKY,1000,3790
JACK DANIEL'S TENNESSEE WHISKEY,750,6140
JACK DANIEL'S TENNESSEE HONEY LIQUEUR,750,6120
JACK DANIEL'S TENNESSEE FIRE WHISKEY,750,6120
JACK DANIEL'S SINGLE BARREL TENNESSEE WHISKEY,750,12910
JACK DANIEL'S GENTLEMAN JACK RARE TENNESSEE WHISKEY,750,8250
WOODFORD RESERVE KENTUCKY STRAIGHT BOURBON WHISKEY,750,10690
EVAN WILLIAMS KENTUCKY STRAIGHT BOURBON WHISKEY,750,4750
THE DALMORE AGED 12 YEARS HIGHLAND SINGLE MALT SCOTCH WHISKY,700,18170
JURA SINGLE MALT SCOTCH WHISKY AGED 12 YEARS,700,7860
JOHN BARR BLENDED SCOTCH WHISKY RESERVE BLEND,750,3090
JURA SINGLE MALT SCOTCH WHISKY BOURBON CASK,700,7860
TAMNAVULIN SPEYSIDE SINGLE MALT SCOTCH WHISKY DOUBLE CASK,700,7860
TITO'S HANDMADE VODKA,750,5710
STOLI VODKA,750,3420
U'LUVKA VODKA,1000,8500
STOLI SALTED CARAMEL FLAVORED VODKA,700,3800
DON ANGEL RARE RESERVE TEQUILA BLANCO,750,4000
DOS FLAMOS TEQUILA BLANCO,750,5890
ROOSTER ROJO TEQUILA BLANCO,700,9290
JAGERMEISTER LIQUEUR,750,5590
JAGERMEISTER LIQUEUR,375,2910
JACK DANIEL'S TENNESSEE APPLE LIQUEUR,750,6120
AMARULA CREAM WITH MARULA SPIRIT,750,6190
MEUKOW V.S.O.P. SUPERIOR COGNAC,700,14200
DEWAR'S WHITE LABEL BLENDED SCOTCH WHISKY,750,3570
DEWAR'S AGED 12 YEARS BLENDED SCOTCH WHISKY,750,6420
DEWAR'S AGED 15 YEARS BLENDED SCOTCH WHISKY,750,7320
DEWAR'S AGED 18 YEARS BLENDED SCOTCH WHISKY,750,12320
DEWAR'S BLENDED SCOTCH WHISKY AGED 8 YEARS JAPANESE SMOOTH,700,4320
DEWAR'S AGED 21 YEARS BLENDED SCOTCH WHISKY DOUBLE DOUBLE AGED FOR ULTIMATE SMOO,0,23370
AULTMORE SPEYSIDE SINGLE MALT SCOTCH WHISKY AGED 12 YEARS,700,9620
ABERFELDY HIGHLAND SINGLE MALT SCOTCH WHISKY 12 YEARS,750,8620
ROYAL BRACKLA HIGHLAND SINGLE MALT SCOTCH WHISKY AGED 18 YEARS,700,25270
ROYAL BRACKLA HIGHLAND SINGLE MALT SCOTCH WHISKY AGED 21 YEARS,700,43970
ROYAL BRACKLA HIGHLAND SINGLE MALT SCOTCH WHISKY AGED 12 YEARS,700,12620
DEWAR'S BLENDED SCOTCH WHISKY PORTUGUESE SMOOTH,700,4430
BACARDI ANEJO CUATRO AGED 4 YEARS,750,4620
BACARDI RESERVA OCHO,750,6170
BACARDI GRAN RESERVA DIEZ,750,9870
BOMBAY SAPPHIRE GIN,750,4520
BOMBAY SAPPHIRE LONDON DRY GIN PREMIER CRU,700,7170
GREY GOOSE VODKA,750,6770
GREY GOOSE ALTIUS,700,23870
CAMINO REAL BLANCO,750,4620
CAMINO REAL GOLD,750,4620
PATRON 100% PURO DE AGAVE REPOSADO,750,10770
PATRON 100% PURO DE AGAVE SILVER,750,8870
PATRON 100% PURO DE AGAVE ANEJO,750,15520
PATRON EL ALTO,700,37020
GOLD NAPOLEON FRENCH SPIRIT BRANDY,1000,2210
BARDINET FINEST VSOP BRANDY,1000,3100
BEEHIVE VSOP BRANDY,1000,3830
BEEHIVE FLAVOURED EXTRA SMOOTH HONEY BRANDY,1000,4240
MARTELL VS COGNAC,700,6540
JAMESON TRIPLE DISTILLED IRISH WHISKEY,750,3820
CHIVAS REGAL AGED 12 YEARS BLENDED SCOTCH WHISKY,750,6130
BALLANTINE'S FINEST BLENDED SCOTCH WHISKY,750,3080
SIR EDWARD'S FINEST BLENDED SCOTCH WHISKY,750,2210
THE GLENLIVET SINGLE MALT SCOTCH WHISKY 12 YEARS OF AGE,700,7970
CHIVAS REGAL AGED 15 YEARS BLENDED SCOTCH WHISKY,750,9180
CHIVAS REGAL AGED 18 YEARS BLENDED SCOTCH WHISKY GOLD SIGNATURE,750,13560
THE GLENWALK BLENDED SCOTCH WHISKY,1000,3390
